rank,player,real_time,comment,date,category
408,Claude,54:01,"Twig is dead, SM64 is alive, and Super Metroid owns",2016-08-12,Any%
408,fyodorjung,54:01,"close enough to 53, time for glitched%",2016-12-08,Any%
410,j_dublay,54:03,Bad audio mix so I guess that means I need to grind for a better time,2018-09-24,Any%
411,SephJul,54:04,SM best game ever !,2014-05-13,Any%
412,l33m,54:05,,2015-03-24,Any%
413,Lexomatico,54:07,Still easy timesaves...,2016-11-17,Any%
414,vegetafan3,54:09,This is my retirement from this category. SUPER happy with this.,2018-03-17,Any%
414,ceriam,54:09,Sub 55!,2018-04-06,Any%
416,Dunderbullen,54:11,D O O D,2016-01-10,Any%
417,Travdogg5,54:15,1st run in a week. PB’d by 1:17 :D!,2017-11-29,Any%
418,PoscheFTW,54:22,bawitaba,2018-06-05,Any%
418,Bonus,54:22,,2021-05-21,Any%
420,Wubbsdingus,54:23,4 years later,2020-05-09,Any%
421,Alucard2004,54:24,Keyboard% WR Hypppeeee!! Really satisfied with this run! K e y F o r C e!!,2014-04-22,Any%
421,AldoNoba,54:24,Easy to get less.,2015-10-22,Any%
421,Aaron,54:24,,2020-01-05,Any%
421,Oopla,54:24,,2020-04-01,Any%
421,b4ttous4i,54:24,"One small step,",2021-03-25,Any%
426,Palisar,54:25,Smashed my last PB  Delighted now to improve,,Any%
427,CrimzenJ,54:26,IGT-0:38 and decent PB but had to get PBs of Shame xD LOL,2022-11-16,Any%
428,zoso89,54:28,Pelican%,2020-02-27,Any%
429,lukealx,54:30,Best escape ever,2015-11-12,Any%
429,BigBird,54:30,After loses three runs to Ridley I PB'd,2016-10-02,Any%
431,Acmlm,54:32,Zeb skip easy everytime except on PB pace,2014-12-30,Any%
431,climbingcoder,54:32,"Fantastic early game- lots of glods, just wish I hadn't completely choked in Tourian",2019-07-19,Any%
433,djabadap,54:35,"im actually flying away ...swap, melo *cough*",2018-10-19,Any%
434,wheelytwitchy,54:36,,2017-02-26,Any%
435,LinkaMeister,54:37,+44 at gravity suit and -29 at the end. Such a terrible run.,2017-06-06,Any%
436,bostoflurry,54:38,39 IGT,2018-02-12,Any%
437,DJToneRI,54:39,One step at a time. Kreygasm,2015-09-07,Any%
438,xancient_gamerx,54:40,Missed Baby Skip,2019-07-28,Any%
439,EODTex,54:41,First sub 55 since 2011,2018-08-04,Any%
439,clumpygrits,54:41,Practice your bosses Clumpy,2019-01-22,Any%
441,spimmmm,54:42,toshiba quality. i missed the shinespark in escape lolol,,Any%
442,bennergetic,54:43,thanks everyone,2019-06-03,Any%
443,ChipperDiglett,54:44,Hi mom!,2020-10-11,Any%
444,QKTunak,54:45,derust run,2017-05-24,Any%
445,listerbruzon,54:47,chocolate milk PB,2018-03-19,Any%
446,theokayguy,54:48,,2016-12-11,Any%
447,jooniejoone,54:50,"sure, I'll take a 2-minute pb",2019-03-26,Any%
448,jk16bit-palmy-,54:51,"Breaking those twigs, yo.",2014-10-11,Any%
449,Ddraigheliwr88,54:52,No Comment!,2019-01-23,Any%
450,Di10kong,54:54,Now the real work begins,2017-12-14,Any%
451,MalusDB,54:56,Dedicated to Kona <3,2016-03-08,Any%
452,narshe,54:59,Need to string the run together better.,2014-12-27,Any%
453,thundermustache,55:04,bowling spark was perfect,2016-09-01,Any%
454,leggomyeggnog,55:11,D e e R F o r C e,2018-02-08,Any%
455,Lightning,55:13,"Finally, I can link to a video :)",2016-02-21,Any%
455,JoeDamillio,55:13,All hail Dbx's Ridley tutorial,2017-10-19,Any%
457,YungGramps,55:17,I will have the world record within 12 business days,2022-03-08,Any%
458,jamos05,55:21,sub 55 is possible!,2014-10-21,Any%
459,Erimgard13,55:26,,2022-03-05,Any%
460,Cubeface,55:27,First finished run on actual console. 11th finished run.,2015-01-31,Any%
461,Cheatyface4,55:30,SEE YOU NEXT LUNCH,2017-09-23,Any%
462,Vismund,55:32,3 years and only a minute better Kappa,2015-11-09,Any%
462,Just_adz,55:32,Double PB night,2018-08-24,Any%
464,rainbowsinzoos,55:33,"Hey, you know what helps? Not getting as many items.",2020-04-04,Any%
465,Mango Slamdunk,55:35,,,Any%
466,IchigoBlurr,55:37,Super Metroid,2018-03-31,Any%
467,oceanfly,55:39,looking in to cap cards. better phantoon but still bad.,2015-02-08,Any%
468,fgadamwest,55:40,,,Any%
469,Miaftw,55:43,toilet splits,2016-05-20,Any%
469,EternalEtulf,55:43,finally on 55:XX,2022-02-03,Any%
471,Avijobat,55:47,,2018-02-19,Any%
472,kotox20,55:48,baby skip fail D:,2015-12-23,Any%
472,Manashne,55:48,shaving time,2017-08-15,Any%
474,Lobosjr,55:49,,,Any%
475,Hainamora,55:50,,2015-02-24,Any%
475,Sybrg,55:50,Dat shave,2016-05-10,Any%
477,Vruche,55:51,,2017-04-22,Any%
478,thebfin314,55:52,"Finally learned Zeb Skip, this is the beginning...",2021-06-27,Any%
479,laplace14,55:54,,2023-04-29,Any%
480,ellisdeez,55:55,timesaves abound in the early game,2018-12-15,Any%
480,Villz559,55:55,New PB. Doggo% KPDR. Could Def cut 55 seconds off this run. The Sub 55 Soon.,2019-07-05,Any%
480,UrinalMike,55:55,dog,2021-09-24,Any%
483,Rarthyr500,55:59,More PBs,,Any%
484,Xelotath,56:06,All my PBs end up being shitty runs since I die in the good ones.,,Any%
485,Breakdown,56:09,Getting there,,Any%
485,SirCabby,56:09,first sub-hour. Thanks to MGA tutorials,2021-02-17,Any%
487,controllerhead,56:10,A n i M a L  F r i E n D  B B Q,,Any%
488,deknyff,56:16,"kids, eat your greens, practise your bosses",2021-11-20,Any%
489,Yuppi,56:17,Relaxed fun time,2017-07-13,Any%
490,DarkXoa,56:18,"Guess the next one wasn't so far off, after all. Now lets see if I can skip the 55!",2019-11-12,Any%
491,JoshShoeWah,56:20,I can't believe this time. WOW!,2016-08-28,Any%
491,karlrodd,56:20,bad,2022-10-06,Any%
493,Caista,56:21,PseudoPB on new badulator,,Any%
494,wladiyeah,56:24,Not quite the 55 yet but i will keep pushing it until i finally get it though,2023-06-02,Any%
495,domcabrito,56:25,"""Play Metroid with a dom.""",2022-08-15,Any%
496,Peanutz996,56:26,"bad, going to improve afer I get a sick SSRTA run.",2014-06-11,Any%
496,skullatafiend,56:26,draygon must die,2018-03-16,Any%
498,spegee,56:28,"insane pb out of like 5 derust runs total, thank you deer force",2022-08-22,Any%
499,steelball78,56:33,Going to be tough for me to beat this one,2015-03-01,Any%
499,KrunchyLex,56:33,Another one?  So soon?,2019-05-24,Any%
501,ceriel,56:34,,2023-05-10,Any%
502,sirdescry,56:35,nearly blew it with failed zeb skips and ammo,2021-10-24,Any%
503,steven_ashe,56:36,Goodbye Spazer :),2017-12-19,Any%
504,shadowspanther,56:40,New safety = 2 minute pb?,2016-04-11,Any%
504,ok_beemer,56:40,K did a run. Done with the grind for now.,2021-07-31,Any%
506,cloud,56:43,DeeR FoRcE,,Any%
506,HelioDixy,56:43,IGT : 00:40 - No video cuz' playing at hospital...,2019-12-22,Any%
508,Freyguy55,56:44,Yay,2021-10-10,Any%
508,zanian_,56:44,57 and 58 skip,2023-04-27,Any%
510,wooda27,56:46,Sub 57.  Missed Kraid QK but solid for a no-reset run.,2016-12-22,Any%
510,Grommie122,56:46,The jewels Betty,2017-03-21,Any%
512,Mchan338,56:49,Zeb skip too stronk,2017-12-07,Any%
513,tr621,56:51,first sub 1 lol,2016-05-15,Any%
513,brachistochrone42,56:51,Probably switching to PRKD.,2017-04-10,Any%
515,eden8,56:56,i've never seen a 57 and i never fucking will,2023-04-24,Any%
516,mondo,56:57,Shake your body down to the ground,2015-09-07,Any%
516,Sir Hoptat,56:57,"Not bad, can still pb again pretty easy",2020-10-22,Any%
518,Jman,56:58,Another minute bites the dust :),2017-10-11,Any%
519,adversary,57:01,Still bad at this game,,Any%
519,papert1ger,57:01,Fall everywhere in the escape %,2019-03-17,Any%
521,micson,57:07,"Bad run but pb, close to a 56",2015-07-24,Any%
522,jangles,57:08,PDKR - Amazing Boss Fights - Missed Escape Spark for 56,2019-02-20,Any%
523,Zodiac_Ashe,57:09,-1.9 on SoB at Golden 4,2017-10-13,Any%
524,ScrewAttack44,57:10,Third run I've completed. Still a really bad time,2015-12-16,Any%
525,Jimmeh,57:11,,2014-08-03,Any%
526,Komaru,57:14,"New capture = better times, proven",2018-03-29,Any%
527,lorensj81,57:16,Missed Kraid Quick Kill. ADHD Power,2016-01-05,Any%
528,Tommy,57:18,Crushed my previous PB by over two minutes!,2014-08-21,Any%
529,th3schwartz,57:19,Learning to move lady,,Any%
529,Caperelli,57:19,Still can't find this Spore Spawn fella!,2023-06-27,Any%
531,cardweaver,57:22,Race #15887,,Any%
532,samusfan,57:25,"bad early game, good late game",2015-08-17,Any%
533,dusksembrace,57:27,Still getting over those nerves. 55 is possible soon.,2017-01-23,Any%
534,Adorawulf,57:31,Still a long way to go,,Any%
535,DeathKraid,57:34,poor first half,,Any%
536,ninjembro,57:35,"wasn't going to play, got a new pb by 24 seconds first run",,Any%
536,Sniq,57:35,sub hour achieved quickly,,Any%
536,Bubblebomb,57:35,Sub hour HYPE! Crushed last PB.,2014-11-24,Any%
539,CanadianInvasion,57:37,First sub hour,2017-08-15,Any%
540,Prier,57:38,Casual gamer here,,Any%
541,Stöcki,57:39,Bosses too Hard,2015-06-08,Any%
542,Demogorgon,57:40,Broke the hour with a 2 minute 26 second PB and still felt mediocre!,2017-04-20,Any%
543,Malzakiel,57:41,impressive,2019-03-13,Any%
544,marshmakie,57:42,draygon ate a whole split,2015-09-28,Any%
544,ChillinMcVillain,57:42,improvable,2018-03-30,Any%
546,cwolf20,57:50,"Offline run, should pb again hopefull but will stream it this time",2015-01-10,Any%
547,Blu3Candl3,57:51,PB as of 04/25/2017,2017-04-26,Any%
548,JeffG24x,57:52,Lets get This Lower,2019-03-17,Any%
549,TestRunner,57:53,"Much to improve, obviously",,Any%
549,Teremos,57:53,No more screw attack crutch! SNES mini,2020-03-11,Any%
551,"the ""theJUICE"" JUICE",57:55,http://i.imgur.com/TAEnw.jpg,,Any%
552,sickent,57:56,had this time for age's just have nt bother'd updateing,2015-10-21,Any%
553,EchoJerichoX,57:59,First legit sub-hour and it was sub-58. Wot. <3 Sweetnumb!,2015-03-07,Any%
553,samusaran187,57:59,My newest PB. Getting better. Lots of time to save.,2016-02-13,Any%
553,helsbecter,57:59,need to practice escape!!,2018-05-19,Any%
556,Moe_187,58:00,"offline pb, havent played in months.. might pick it up again :D",2017-01-02,Any%
556,uzitalo,58:00,Samus froze after baby metroid left... strange.. had to go to menu to gain controls back,2020-02-26,Any%
558,bsnone,58:01,Living the grind dream.,2018-01-31,Any%
559,ExplosPlankton,58:05,Cut teh Hour,,Any%
560,dasr12,58:11,nice,2022-06-18,Any%
561,FriendGuy,58:12,Major time improvements all around. Middling Phantoon cost me a bit.,,Any%
562,Gourdon,58:13,,2016-11-18,Any%
562,Starcruftling,58:13,"Good progression, a long way to go...",2021-01-17,Any%
564,puchiedarcy,58:17,Deer Force Knew.,,Any%
565,axon,58:18,you ever have a personal best that's just really really bad?,,Any%
566,Whelk,58:21,First sub 1 hour =D now to learn any pro strats at all,,Any%
567,mw,58:23,,2015-07-16,Any%
568,Sizzle,58:25,https://www.youtube.com/watch?v=Z0aA_THFfJo,2015-10-28,Any%
568,skateman222,58:25,Shoutouts to zoasty :). D e e R F o r C e,2020-04-26,Any%
570,QQQQQ9,58:27,Hopefully I'll get a better run when I'm streaming,,Any%
570,MasterGTS,58:27,,2015-01-03,Any%
572,Dyinggamer,58:28,bad phantoon and maridia,2015-03-30,Any%
573,lcpl_david,58:29,Sucking less dick every day.,2015-04-13,Any%
574,thevikinggmr,58:33,Sloppy run but some great boss fights,,Any%
575,PhoenoFox,58:35,Video didn't save D: 1:15 pb feels so good!!,2016-09-13,Any%
575,g10w5t1ck,58:35,Finally got the sub hour you guys!,2016-12-11,Any%
575,adanalce,58:35,c:,2019-02-20,Any%
578,DLH112,58:38,internet was dumb. rest found in my highlights. finally sub 1 + skipped 59s :D,,Any%
578,Cyler,58:38,Climbing on up! We can do it Samus!,2014-04-22,Any%
578,wormy217,58:38,finally sub hour,2015-05-12,Any%
581,Metroid_Gameplays,58:39,"After months of trying, the sub-1h finally came out",2022-03-17,Any%
582,animus__domini,58:40,the rollercoaster,2016-06-18,Any%
583,prinny,58:41,[nosrl],,Any%
583,Tojju,58:41,,2017-01-10,Any%
585,Eduardocruz25,58:42,controle teclado acer,2017-12-06,Any%
586,devonodev,58:44,"First sub hour, and got under 59!",2016-01-25,Any%
587,bjw,58:45,good cutscene,,Any%
588,starisms,58:46,From Jan 18 - First sub hour,2018-12-10,Any%
589,ramblee,58:47,ty ghost <3,2015-04-20,Any%
590,geeoh,58:48,still so much time to save--55 is next.,2022-07-06,Any%
591,IrisIsotheis,58:49,"First sub hour, now I can submit stuff! Hype!",2019-04-05,Any%
592,KennelCrazy,58:51,This run was a last minute thing before work--I ended up being late,2018-10-31,Any%
593,Cr3eVe,58:52,first time sub 1h,2017-05-01,Any%
594,Gyper,58:53,"""59 is kill""  ""no""",2015-01-25,Any%
594,PolybiusNightmare,58:53,Finally a sub 60,2017-03-16,Any%
596,GreenMetroid72,58:54,I 2-rounded Draygon's ass,,Any%
596,ZenSpecter,58:54,That LN Escape tho monkaS,2018-12-15,Any%
596,ryan_the_pixelated,58:54,movin' on up,2020-07-22,Any%
599,blazinmicky263,58:55,a starting point,2018-03-31,Any%
600,DrewZee,58:56,sub-hour and proud of it!,2020-12-08,Any%
601,Lake,58:58,No comment,2021-02-28,Any%
602,kierank100,59:00,higan v106,2019-01-11,Any%
603,HarveyMutton,59:02,This is a thing I did.,2017-07-21,Any%
604,eyedunno11,59:06,Played on Super Nt this time (OG cartridge ftw),2020-04-26,Any%
605,solid_snake1982,59:07,First Sub Hour Run LETS GO!,2020-01-07,Any%
606,screevo,59:10,based reserve tank,2021-02-06,Any%
607,Fluent,59:12,"6 tank, but first sub hour hype!",2017-10-21,Any%
608,PenguinKN,59:14,SUB 1HR - D e e R F o r C e,,Any%
608,duckfist,59:14,super deerforce 1994,2016-05-11,Any%
610,BaconOmelette,59:15,,2023-06-17,Any%
611,TheDarkmanWs,59:16,Got fast pillars for the first time in a run,,Any%
612,Ninjaofsorts,59:17,first time going 4 energy tanks and I even missed ocean fly and halfy,2017-04-15,Any%
613,melburn,59:18,sub 1 hour! the LN choke is real,2015-06-14,Any%
614,linkherooftime64,59:22,first sub-hour any% run,2019-07-05,Any%
615,Agrobahn,59:26,,2018-02-16,Any%
615,mrgameandwatchguy,59:26,Finally Sub-Hour!!,2019-01-08,Any%
617,doicm,59:27,any% is tough,,Any%
617,zazztrain,59:27,CorgiDoge,2016-08-16,Any%
617,stump,59:27,Sub-hour hype!,2016-11-14,Any%
620,CnEY,59:28,Finally finished a late-ice run and cracked sub-hour at the same time.,2019-03-19,Any%
621,Sajiki,59:29,good but i will beat this hehehee...,2016-02-23,Any%
622,HighlanderGCB_,59:31,Upside Down Smiley,2019-03-18,Any%
623,Mr_Carter,59:32,I'm FREE!,,Any%
623,Wodahs-Reklaw,59:32,Kappa,2015-02-15,Any%
625,storm,59:33,no highlight,,Any%
626,Namdaets,59:35,Phantoon Bless,2017-11-12,Any%
626,Player31,59:35,!thank phantoon,2020-06-06,Any%
628,DjMajette,59:36,Finally got Sub Hour!!!!,2016-09-26,Any%
628,kddove1985,59:36,Sub Hour Club,2017-07-11,Any%
630,Desmous,59:37,Climbing the ranks,2019-08-15,Any%
631,binarynova,59:38,Such boss luck! D e e R F o r c E,2016-05-19,Any%
631,chronoon,59:38,Tasty,2019-02-27,Any%
633,Jexot,59:40,Tourian tried to stop me.,2019-05-19,Any%
633,hacksaww,59:40,,2020-11-08,Any%
635,Shataan,59:43,Shoutouts to Wild and Lex LUL https://youtu.be/AWH58KOy_GI,2016-11-17,Any%
635,TheMashina,59:43,sub hour club,2020-01-09,Any%
637,Legendary,59:44,I did it!,,Any%
638,pwnageplus,59:45,norfair is too hot for me,,Any%
638,WhiteShadow,59:45,,2017-08-09,Any%
638,frozentreasure,59:45,"Offline run. Face left, save animals, be canon",2021-09-16,Any%
641,BuebeamTrap,59:49,First sub-1 hour! :),2014-07-23,Any%
641,Gabelstabelfahrer,59:49,Finally Sub 1 #TheCLIMB,2016-03-26,Any%
643,0scar17777777777,59:50,Lol sub hour shoutouts to thorneto mason and decalled,2019-07-26,Any%
644,RetrophileTV,59:51,"""S on my D"" -MawcDrums | ... Or is it /in/? | ""It's the run, boys.""",2016-04-28,Any%
644,Lowbeyonder,59:51,My first sub-60!,2017-02-24,Any%
644,JanusZeal,59:51,Sub Hour HYPE! Next goal is sub 55~,2018-07-20,Any%
647,finger_prints,59:53,-1:34 for the sub hour hype! :D,2019-02-23,Any%
648,Seppiro,59:55,Boom first sub 1h,2020-02-01,Any%
649,PiePusher11,59:57,Sub-1 HYPE,,Any%
649,Griffington,59:57,"I just love falling in holes. Wherever they are, there I am",2018-04-04,Any%
651,herpyderpy1,59:58,Just cut the hour. Some slight improvements possible. RNG was on my side,,Any%
652,penguin_aces,59:59,"No KQK, crap Phantoon, amazing Draygon/Ridley, failed zeb 3x",2021-01-25,Any%
653,theherpderp88,1:00:05,(:,2014-09-16,Any%
653,hypershadic11,1:00:05,So close... It hurts... Just 5 seconds away!,2017-07-03,Any%
655,raikourider,1:00:06,fast mid mid,2020-07-12,Any%
656,Thingsfan,1:00:07,almost...,2015-10-17,Any%
657,Spayd,1:00:15,So close to sub-1!,,Any%
658,vorporeal,1:00:26,"shitty run, but first run. can't complain too much.",2016-05-08,Any%
659,Ciel,1:00:31,Race Pb. awesome!! still not sub 1h though,2016-06-19,Any%
659,Toxie,1:00:31,"failed the quick kill, no vid but now my pb, working on sub hour!",2020-01-09,Any%
661,TheFinalBiscuit,1:00:40,2 PBs in a row. Good times were had by all.,2016-05-20,Any%
662,Slidick,1:00:43,,2016-06-02,Any%
663,spanky,1:00:48,kool,2015-12-15,Any%
664,EvilAsh25,1:00:49,,2016-02-20,Any%
665,MasterKnives,1:00:50,10 whole seconds off my last PB! Wow this is progress! (Kill me),2017-08-11,Any%
666,SluckySeven,1:00:57,:>,2015-02-18,Any%
667,karterfreak,1:01:06,Finally finished a run. Loooooots of room for improvement.,2016-03-14,Any%
668,StarSapphire,1:01:09,PB by almost 2 minutes. Not recording yet.,2015-01-20,Any%
668,lalo444,1:01:09,First Completed Run ^_^,2016-12-01,Any%
670,LizWiz,1:01:35,"Bad Draygon, but Sub Hour here we come!!!!",2019-01-20,Any%
671,kibbles,1:01:36,,2016-01-17,Any%
672,Runner251,1:01:41,2/2/18 First PB in about half a year. Wife brings good luck,2018-02-02,Any%
673,EasyDanger,1:01:43,Just keep finishing runs.,2021-01-17,Any%
674,mrcab,1:01:45,Mother Brain 9 health please,2017-12-22,Any%
675,Jakabob,1:01:58,Sub hour on its way,2020-03-24,Any%
676,Splutte,1:01:59,Sub 1:02 ftw!,,Any%
677,Applesteak,1:02:03,procrastination pb,2018-04-26,Any%
678,PaddyWan,1:02:08,,2018-06-15,Any%
679,midgarrDLC,1:02:12,,2018-03-24,Any%
680,ZaphiasIV,1:02:14,Here we go.,,Any%
681,Schwammerl,1:02:22,"Autosplitter failed me because of botched Zeb Skip, Retimed it to 1:02:22",2023-01-27,Any%
682,neonfuz,1:02:26,New first submitted console PB,2017-03-24,Any%
683,BQ,1:02:27,Dat super into RNGsus's face... -.-... Well sum of best sub 60! Here I go!,2015-08-31,Any%
684,Borg13,1:02:33,"45 game time, first kraid quick kill and hero shot today!",2014-06-26,Any%
685,Triddy243,1:02:36,First spazerless. Up in 2. The rest was crap.,2015-07-28,Any%
686,Amber24,1:02:42,race pb from 4/6/19,2019-09-29,Any%
687,M1,1:02:43,d;^>,,Any%
688,emraghoul,1:02:55,Bang,2021-06-04,Any%
689,Jason X,1:03:00,Too many mistakes...,2015-06-14,Any%
690,bandc,1:03:07,No major mistakes. Clean run for me so I'm happy.,2023-05-06,Any%
691,leadfeather89,1:03:14,First time Kraid quick kill!,2019-05-04,Any%
692,gigahari,1:03:17,I seem to do better when I don't stream...,2014-10-15,Any%
693,OsteHovel,1:03:24,Closing the gap for the sub hour,2016-09-12,Any%
694,cakemaphoneige,1:03:25,Bizhawk Emu/KPDR/46 igt/28%,2019-03-03,Any%
695,`Bagel_Thief,1:03:26,Sub Hour soon.,2018-01-20,Any%
696,hagspam,1:03:29,sub 1 hour soon..... hopefully,,Any%
697,Saeor12,1:03:36,going for sub hour,2015-12-27,Any%
698,elmagus,1:03:44,"obtained in my last tourney race, solid improvement for no practice",2016-05-27,Any%
699,RedBalloonMan,1:03:46,sub 1 coming soon,2015-04-25,Any%
700,Soulblazer91,1:04:00,Successful late ice and one less e tank!,2017-07-21,Any%
701,siriuscord,1:04:01,,2021-10-20,Any%
702,Slaytheplay,1:04:02,My First Run After coming back from Drusting,2021-02-22,Any%
703,Selphie96,1:04:08,I can't believe I pb'd with this super super safe run.,2015-08-10,Any%
704,Khanster786,1:04:13,Pretty solid run made a slight few errors definitely improvable but happy with the run,,Any%
704,Your3Wishes,1:04:13,Using an old route. Going to learn newer stuff soon!,2015-02-03,Any%
704,RPGodfather,1:04:13,ROLLIN DEEP FORCE,2016-01-21,Any%
704,DrMcStreamy,1:04:13,Screw Attack retirement party,2019-05-04,Any%
708,FreezR,1:04:16,,2014-05-17,Any%
709,Yield,1:04:17,nice run,2016-10-04,Any%
710,Degenb,1:04:20,,2017-04-24,Any%
711,drumman541,1:04:26,"Really good early play, Wrecked Ship, and Lower Norfair.  Really bad Draygon, Tourian, and escape.",2017-03-18,Any%
712,Antilles58,1:04:31,marginal improvement,2014-07-09,Any%
713,MetroidMst,1:04:40,"Very first Any% run. No practice, no route knowledge. Needs improved drastically.",,Any%
714,shrubstep,1:04:42,Aaaaa fuck you zeb skip,2019-06-04,Any%
715,SparkleMuffin,1:04:53,KPDR - Knocked off a couple minutes - Trainingwheels%,2019-06-08,Any%
716,demiurge212,1:04:56,just the beginning,2020-04-04,Any%
717,Kvothe4,1:05:00,sub hour coming soon,2016-08-08,Any%
718,Millnium,1:05:03,,2016-06-04,Any%
719,SFFIRESTORM33,1:05:08,Time to learn pro strats. 23% collection,2014-08-27,Any%
720,ryuseishin,1:05:09,Could of been so much better,2015-05-10,Any%
721,darkrid12,1:05:17,"Was an ok run, next time though... I'll probably have that sub hour in the bag!",2019-05-04,Any%
722,jet082,1:05:27,New PB,2015-01-15,Any%
723,Sylian,1:05:38,"Starting to learn how to SR SM, choked hard at the zebetite",2017-09-24,Any%
723,palanin,1:05:38,First timed run,2017-12-30,Any%
725,Lawlshark,1:05:44,Shout out to CountCreep for the host!,2016-08-18,Any%
726,Skavenger216,1:05:47,Getting back into SM speed running after 10+ years of not playing it.  This time will be improved :),2014-09-05,Any%
726,alexrg,1:05:47,Nice run. Oceanfly to the sky ;),2021-04-18,Any%
728,flickerform,1:05:51,time to learn boss strats,2014-10-08,Any%
729,Madpeter,1:05:56,saves 9 secs on a shit run to get pb B_B I dont even want to show the video,2016-05-13,Any%
730,Son_of_Samus,1:06:01,FASTER FASTER FASTER,2017-01-10,Any%
731,WynneDFalchion,1:06:02,,2014-12-13,Any%
732,Javeliin,1:06:04,,2018-09-23,Any%
733,party_peter,1:06:05,"first submitted any% time - ""if i finish the game, i'm so happy"" :)",2014-12-16,Any%
734,Murderbydeath,1:06:20,*** bad,,Any%
735,Orion96,1:06:37,Hoping to cut the 1 hour!,,Any%
736,Shoveler919,1:06:46,,2017-08-27,Any%
737,nolife9face,1:06:50,First run with late ice.,2016-07-24,Any%
738,Eyes,1:06:52,Getting closer.,2021-01-04,Any%
739,Derko,1:06:59,"pb from the day before, guess i had the noise off on obs",2018-11-20,Any%
740,buckminst,1:07:11,Why are my PBs always bad runs? lol.,2015-03-04,Any%
741,Telfyr89,1:07:13,PB first ever recording  new to SM speed running,2015-03-01,Any%
742,Supermedoukenoid,1:07:16,(0;49) PON PON PON Kappa,2014-10-01,Any%
743,R3DninjaJOSH,1:07:21,"Yeah, I am definitely lost...",2015-01-21,Any%
744,Syanelys,1:07:35,3mn better than the previous PB. Want to get a sub hour !,2018-02-16,Any%
745,ninjacloud_,1:07:44,A long overdue PB. I guess sub hour is the next goal...,2016-09-10,Any%
745,Shokushu,1:07:44,first run,2016-12-23,Any%
747,BaconBeShakingStreaming,1:07:47,Wow this could be better :/,2015-09-11,Any%
748,vince_vegeta,1:07:49,PhD in boss fights,,Any%
749,shiceta,1:07:50,KPDR.50IGT. 33% Items. No Zeb. 50 Missiles. 20 Supers. Plasma. Screw. No grapple.,2020-11-29,Any%
750,Lucon,1:07:53,"Finally took my record under 1:10, only took 22 days",2019-03-28,Any%
751,gusnv,1:07:55,Let's go for sub-hour =),2020-05-11,Any%
752,Talisman028,1:08:12,Getting better I guess...,2016-06-20,Any%
753,LXXIX,1:08:20,No deaths!!,2018-03-31,Any%
754,CookieCat45,1:08:22,,2020-05-09,Any%
755,JWBenny,1:08:58,im comin for the wr in like 3 days,,Any%
756,Firebreaker,1:09:00,maybe sub 1h some days,2017-06-25,Any%
757,0xff42,1:09:01,Took me some runs to get it. I smell it.,2016-05-28,Any%
758,RamblingJosh,1:09:13,,2016-12-21,Any%
759,fatboy90,1:09:17,First measured time. Many mistakes :-/,2015-10-04,Any%
760,Archange,1:09:21,My Thumbs... T_T,2016-06-09,Any%
761,skyquote,1:09:23,going for sub hour....getting closer,2020-06-04,Any%
762,FlowerKaren,1:09:24,almost a 15 minute pb,2017-01-21,Any%
763,Forte,1:09:47,First run ever,2018-03-10,Any%
764,Loffy,1:09:50,,2021-09-07,Any%
765,Necro_Gaming,1:09:55,Vods as soon as my capture card comes in,2017-01-19,Any%
766,Ajax_47,1:09:57,Hopefully my next one will have a vid.,2016-07-19,Any%
767,taveira14,1:09:58,Second time finishing the game. I need to practice more!,2016-04-04,Any%
768,lpshred,1:10:03,Just missed sub 1:10. Now onto sub 1:08!,2016-06-13,Any%
769,gameaholic2k,1:10:06,First time running any%,2018-03-03,Any%
770,Creation_Lord,1:10:31,My first Super Metroid Speedrun. Only putting this here now so I feel more motivated to do more.,2021-06-20,Any%
771,1upjolt10,1:10:32,Good time yet still no recording,2019-05-19,Any%
772,djc6986,1:10:34,Lost a lot of time getting too low on supers for mother brain,2015-06-22,Any%
772,Crocovile,1:10:34,Love this game! will keep running it,2017-10-01,Any%
774,Spinjump,1:10:42,"Lots of room for improvement.  An Elgato was used to capture this, so the game video lags about 1-1.",2017-04-24,Any%
774,Melkor4,1:10:42,"No glitch (I mean, I didn't pass through any solid objects)",2018-08-19,Any%
776,Gamwe90000,1:10:44,"When I get sub hour with grapple, I'm gonna take it out.",2020-11-03,Any%
777,ArchPong,1:10:51,Power bomb farm lol,2019-02-11,Any%
778,Dreedz2179,1:10:56,First try any% (old route),2017-03-24,Any%
779,Vanni'Van,1:11:18,Mockballing in Brinstar saved me eight minutes,2014-11-24,Any%
780,BakaRecca,1:11:22,First time without grappling beam,2014-04-29,Any%
781,Lionsoflonga,1:11:23,Fast fast phantoon responsible!,2016-08-18,Any%
782,Arizzo,1:11:28,"00:53 IGT, 31% items, second timed run",2021-09-18,Any%
783,AwkwardGrant,1:11:33,"Not too great but in general was my best run so far, hope to cut the One soon.",,Any%
784,DrGreatJob,1:11:34,First completed timed run (KPDR),2017-08-27,Any%
785,barrett777,1:11:43,Ben is pretty cool,2017-10-15,Any%
786,kingsalmon,1:11:44,"Very ""mechanical"" (I don't know many tricks) = Baseline Run",2018-12-16,Any%
787,viohlenze,1:11:45,"Lost Connection, Video is splitted into 4 Parts",2015-03-12,Any%
788,jarvitz,1:11:46,im bad,,Any%
788,chrispy072003,1:11:46,friday night race pb,2014-05-10,Any%
