rank,player,real_time,comment,date,category
96,nutella4eva,46:35,Unleash the mane!,2018-08-08,Any%
97,fruitbatsalad,46:36,shout-out to Phantoon for the fast fast,2018-10-24,Any%
98,jronaggaz,46:39,somehow i played well,2018-03-17,Any%
99,Elminster,46:40,-46 to get a 46 for 46th,2018-07-14,Any%
99,KNO3,46:40,3.5 week derust,2023-06-25,Any%
101,bressingham,46:42,sick run,2020-12-22,Any%
101,ForeverChangingMyUsernameAllTheTime,46:42,I was COOOOOOOOOOOOOKIN on this grind.,2023-03-05,Any%
103,hero_82,46:44,I am here now. All is well.,2023-01-26,Any%
104,Leodox,46:46,46 is free bro,2016-05-17,Any%
105,Caznode,46:47,Who needs Kraig quick kill anyways?,2015-02-08,Any%
105,CynanMachae,46:47,Got carried by that 15s gold Lower Norfair! First 46!,2021-11-05,Any%
107,MSDS3170,46:49,a satisfying run of an amazing game,,Any%
107,Whewty,46:49,I guess you could say it's getting pretty serious,2020-11-13,Any%
109,skrooger,46:50,Not a bad run :),2016-11-12,Any%
110,Enmet,46:53,B u z Z F o r C e,2018-08-07,Any%
111,mctimothy,46:54,KPDR Goal Achieved!,2022-05-11,Any%
112,released,46:55,,2015-06-28,Any%
113,EpiclyEpic,46:56,The sub-48 skip - 2 2 %,,Any%
114,BFrobber,46:57,decent bubble mountain,2022-08-22,Any%
115,S_Holbro,46:58,goal achieved!,2022-09-23,Any%
116,waffle42,46:59,new route eventually,2015-12-01,Any%
117,Flowsouth8,47:01,Time set on a Super NT.,2019-11-05,Any%
118,Kingofthehill476,47:02,PRanKeD,2022-07-15,Any%
119,omnigazer,47:04,Closing up on top 100,2021-06-13,Any%
120,Midboss,47:06,,2017-10-14,Any%
120,hilborn,47:06,tourian pls,2018-01-04,Any%
122,heny,47:16,soon™,2015-05-27,Any%
122,cemo,47:16,"46 feels doable, shoutouts to ed",2021-09-04,Any%
124,MawcDrums,47:19,Fast Fast Phantoon is the only reason for this PB,2016-06-05,Any%
125,WhiteMageBecky,47:20,,2018-07-25,Any%
126,kekumanshoyu,47:25,the dang leo room :(,2018-08-23,Any%
127,somewes,47:26,,2020-10-15,Any%
128,Nintoaster_81,47:29,4-second improvement.  PB is PB,2021-03-15,Any%
129,kreichjr,47:30,Missed the Skip. ><,,Any%
129,Caaaaarlito,47:30,"last run with this route, next mission: PRDK",2017-03-13,Any%
129,Stunt_sr,47:30,Easy Game,2019-12-31,Any%
132,Dyce_NL,47:31,,2022-05-10,Any%
133,beastworm,47:33,best run to date,2022-01-31,Any%
134,magmapeach,47:44,the entire 2nd half was a disaster,2016-08-27,Any%
135,spidey-widey,47:45,PRKD is pretty cool,2015-09-01,Any%
135,jichi9,47:45,forgot to upload this here :p,2023-02-15,Any%
137,goop.Q,47:46,uh ok,2017-10-16,Any%
137,McBrady,47:46,,2020-08-29,Any%
137,Dr_Girlfriend,47:46,Dedicated to Dr_Boyfriend,2021-07-18,Any%
140,AgentKoolaid,47:48,Comcast boss strikes again,2020-02-27,Any%
141,bnetters,47:49,"weird run, dash of salt",2022-10-08,Any%
142,Lexasaurus_rex,47:52,ouga chaca,2016-03-02,Any%
142,Ponk,47:52,Uga Chaka Uga Chaka,2018-04-04,Any%
144,Ethan,47:55,woohoo,2021-10-01,Any%
145,Amadeus1005,47:59,PKRD,2022-09-19,Any%
145,SeanCass,47:59,"""47 by 0.5px"" - afs",2023-05-06,Any%
147,armedgooner,48:08,Baby killed the 47,2020-05-05,Any%
148,gabriel,48:09,I'm back on the grind. Will definitely go for a high 46.,2018-10-23,Any%
149,Crocomirepoop,48:15,"finally reached my goal, got the 32",,Any%
150,Spiriax,48:19,"""I'm gonna take a break"", proceeds to phat PB two days after MingLee",2016-11-29,Any%
151,PassivePac,48:21,2 sec PB lol,2023-01-31,Any%
152,Brother main,48:22,how do I metroid skip,2014-12-05,Any%
152,renegade917,48:22,Got the metroid skip,2019-02-05,Any%
154,Mackemagi,48:24,"Definitely a good run, even though I lost 40 seconds from grav suit to golden 4!",,Any%
155,Yeahboiii5,48:27,first ever sub 10 varia is the only thing im proud of ??,2014-12-11,Any%
156,Xelna,48:30,B o t w o o n,2015-08-15,Any%
156,45oranges,48:30,not a good run t-.-t,2018-03-05,Any%
156,gill42,48:30,speed incarnate,2020-08-12,Any%
159,HemZar,48:32,,2022-03-15,Any%
160,UNHchabo,48:34,Late-game nerves kicked in.,2020-08-27,Any%
160,Toasty,48:34,calzone%,2020-11-14,Any%
162,Belthasar,48:35,Lost at least 30 seconds in tourian.,2016-05-21,Any%
163,Saron_Gas,48:38,new route pb (49:12),2017-02-20,Any%
163,Annelits,48:38,,2017-10-06,Any%
165,retro,48:39,solid run. hit my goal for now. next time I play will probably be with PRKD.,2016-12-03,Any%
166,Grondious,48:40,2 PB's in one day! :D,2018-01-26,Any%
167,Stunt Coyote,48:42,-38 after +24? that makes no sense.. oh well... 48!,2016-07-17,Any%
168,Bioactivesocks,48:43,Onward to new route,2017-02-24,Any%
168,kuru,48:43,Offline. I'll upload the VOD eventually.,2022-04-23,Any%
170,MustardCabbage,48:44,went from 51 to 48 in a single run,2018-05-19,Any%
171,kosmicd12,48:45,Wildberry poptarts,,Any%
172,jonB,48:46,forty-eight,,Any%
172,lioran,48:46,Sub 50 was a lie... it never happened,2015-01-03,Any%
174,Cygrade,48:48,Lost a minute on the Gravity split,2015-06-24,Any%
174,CanadianOwl,48:48,"I wanted a 48, and got two of them",2019-12-22,Any%
174,Maniacal42,48:48,36 s to save Varia to speed yikes,2022-08-04,Any%
177,Rumbleminze,48:49,,2018-09-01,Any%
177,Derxu,48:49,Time for the real deal!,2020-04-20,Any%
179,pineonline,48:51,unexpected derust PB,2020-01-08,Any%
180,Melonax,48:54,48 club heck yee i would like to thank jeebus and my mom and sephy,2021-10-26,Any%
180,tewfus,48:54,"Sorry for the terrible buzz on my mic, but hey… new PB",2022-04-14,Any%
182,Mishrak,49:05,A T T I C,2016-06-29,Any%
182,typwo,49:05,a few good moments,2018-11-30,Any%
182,Popplars,49:05,This runs for you Mr. 80 spf wearer guy!,2019-05-26,Any%
185,AzulynoT03,49:07,Pb Humilde Cof Cof,2019-01-23,Any%
186,OldSchooLTribe,49:09,prkd,2017-10-28,Any%
187,juny,49:10,let's keep going! positive mind always!,2018-05-10,Any%
187,CIaireBear,49:10,"Mid game needs some work. Solid run overall, time to learn some faster strats : 3",2019-03-20,Any%
189,danstwitch,49:12,Be ready when Deerforce smiles upon you.,2015-02-08,Any%
189,Benko,49:12,Casual sub 50.,2015-08-15,Any%
191,renegade91,49:19,Getting better,2019-01-06,Any%
192,Eduardo metroid3,49:21,Manaus Am,2018-08-30,Any%
193,1mpuls3,49:24,I did it ya'll,,Any%
194,hotarubi,49:25,0:31 in game,2017-10-25,Any%
195,Kronicsauce,49:26,I got Up In 2. No run can ever compare.,,Any%
195,Tilimorf,49:26,,2021-09-10,Any%
197,schematico,49:27,,2017-12-25,Any%
197,KRISTOPHOLO,49:27,Second sub-50!,2020-10-27,Any%
199,hazz,49:28,right in the FUCKING HEAD!!! YEEEAAAHHH!,2015-08-09,Any%
199,Thorneto,49:28,Phantoon is a dumb elephant,2020-01-16,Any%
199,dgm,49:28,,2022-11-21,Any%
202,plasma_enhanced,49:35,,2022-06-03,Any%
203,Axl,49:36,Didn't hit record. Can still gain 30 seconds. Also hai Guru,2015-10-26,Any%
203,Oh_DeeR,49:36,no 48 because of Tourian,2019-03-11,Any%
205,zealous_benediction,49:38,Finally done with this category,2015-01-02,Any%
205,personitis,49:38,Should've had sub-50 a long time ago.,2016-10-09,Any%
207,wardrinker,49:39,im not done yet,2020-01-04,Any%
208,kevnastics,49:40,"Finally heckin did it…Tourian for the win, as per usual",2022-05-20,Any%
209,Frozencup,49:41,Thanks to MrLandmaster for this site.,2014-05-24,Any%
209,claudiothx1138,49:41,Behemoth is the one,2017-03-25,Any%
209,Zarcatus,49:41,"Emulator: BizHawk 2.0.1 Mid-Mid Phantoon, 4 E-Tanks https://splits.io/3xnh",2019-05-04,Any%
209,kingsalmon_,49:41,Finally passed the 50 barrier. now 38 GTC or 100%,2020-04-22,Any%
213,Dhaos TK31,49:42,YESSS YES YES WIE IS JE KANKERVADER,2017-05-19,Any%
214,Sweetkid689,49:43,,2017-09-05,Any%
214,Loogy,49:43,,2022-09-04,Any%
216,Karenkonou,49:44,got it,2018-08-11,Any%
216,Girl Named Captain,49:44,"baby it's a freeway, where nothing can destroy you",2021-06-07,Any%
218,jimmyychangas,49:45,Baby skip skip for the 49,2021-09-02,Any%
219,Solo,49:46,One second PB,2015-01-21,Any%
219,lackattack24,49:46,great LN,2020-10-28,Any%
219,DMC_Sparda,49:46,It's done! I'm finally retiring from Any% :D,2022-11-06,Any%
222,Pasky,49:47,"Pure crap, missed pillars, missed halfie, utter shit.",,Any%
222,ExtremeSP1TF1R3,49:47,a decent run but exiting lower norfair cost me time,2014-09-05,Any%
222,RyanLockwood,49:47,Cut the 50. Pretty solid run. Im very happy with this milestone achievement,2016-01-19,Any%
222,vertex5,49:47,tournament race PB,2016-05-18,Any%
222,pegasusrage,49:47,on to the next goal,2018-05-08,Any%
222,Oneiam82,49:47,First Sub-50 & Early Ice!!,2021-04-08,Any%
222,swunsh,49:47,first sub 50,2022-09-15,Any%
229,apple_for_you,49:48,I would like to thank moat missiles for bringing me where I am today,2019-05-04,Any%
229,Sirotaca,49:48,Baby's first sub-50,2019-10-12,Any%
229,Stovetop1321,49:48,First sub 50 and sub 50 with spazer beam. Thank you to everyone for all the support!,2021-10-26,Any%
232,Feco_,49:49,,2023-06-15,Any%
233,total,49:50,took long enough,2017-12-28,Any%
234,Countcreep,49:51,SGQF,2016-05-31,Any%
234,DCR,49:51,Sub-50!!! Sub-50!!!,2017-03-24,Any%
234,V0lrat,49:51,First Sub 50 - Time for a new game?,2017-06-04,Any%
234,MassHesteria,49:51,Skipped the 50,2020-08-09,Any%
238,einbert,49:52,D e e R F o r C e,2016-08-08,Any%
238,carcinogin,49:52,lost 30 seconds in tourian,2018-01-20,Any%
238,hcfwesker,49:52,this game is hard ..,2018-03-23,Any%
241,Ketaminedrift,49:53,"one step, two step",2018-04-07,Any%
241,Moagim,49:53,Finally got dat sub 50!,2018-05-09,Any%
243,Darko,49:54,Special Thanks to Kayomi McDonald,2022-10-27,Any%
244,basillicaforce,49:55,got it,2018-03-30,Any%
245,Chish,49:56,,2021-07-17,Any%
246,prkay,49:57,Got sub 50 pogchamp,2018-04-01,Any%
247,sykobl86,49:58,,2017-12-18,Any%
247,Tiberius,49:58,5 E-Tanks and unfortunely Moat Missiles.,2021-09-04,Any%
249,Ryehana,49:59,"Horrid bossfights, but still hyped to break sub 50 :).",2017-07-08,Any%
250,PSIcoh,50:00,most scuffed kqk ever. 49 gatekeeper,2023-05-20,Any%
251,idlechild,50:03,This run has character,2022-10-18,Any%
252,greenham,50:06,farming flyway ftw,2021-09-30,Any%
253,BluePlasmaSpark,50:08,3rd run that shouldve been sub 50 :(,2018-09-02,Any%
254,Xerxes81,50:09,close but no cigar,2018-06-21,Any%
255,thejakjak,50:11,*sigh*,2017-10-10,Any%
256,Nighty93,50:12,Old Race PB,2018-08-20,Any%
256,Alex_X8,50:12,Closer to sub 50 :D,2021-09-14,Any%
258,Trogdor,50:13,chokes,2015-01-21,Any%
258,Adam1729,50:13,,2020-05-31,Any%
260,mechashiva,50:14,hybrid route. IGT 34. never go full goober,2017-04-07,Any%
261,_bullseye_,50:17,double PB in 24 hours :P hello 49:xx,2019-08-05,Any%
262,Kanzeon,50:18,One step closer to escape,2016-09-20,Any%
263,kelcharge,50:20,"phantoon, botwoon, halfie, draygon, reverse halfie",2017-11-11,Any%
264,Glaucio_Souza,50:22,Good run with Ridley sucks!,2023-01-10,Any%
265,benlake412,50:23,This was the hardest thing to get ever but hey ho lets go on,2016-04-01,Any%
266,abortion_shark,50:32,シ,2016-08-24,Any%
267,backtobasix,50:33,D e e R F o r C e,2018-03-24,Any%
267,JUAN,50:33,DIAMONDS,2018-04-22,Any%
269,Krankdud,50:36,,2016-11-03,Any%
270,Financier,50:38,,2018-07-09,Any%
271,hopespell,50:39,Skipped dinner percent,2021-12-14,Any%
272,aircheese,50:40,let's get that sub 50!,2015-06-02,Any%
273,ommy,50:43,should do runs more - is that the point?,2023-02-19,Any%
274,v1ncelol,50:44,One baby skip and a good botwoon away from a sub 50,2021-07-05,Any%
275,Big Bossman,50:45,Super Metroid,,Any%
276,rkctkc,50:47,,2020-09-08,Any%
277,Croakomire,50:48,If you asked me what was happening I couldn't tell you if I tried,2018-07-28,Any%
277,wordspoken,50:48,Hadn't pb'd in a while :),2023-03-10,Any%
279,omnislash88,50:49,51 skip hype,2018-03-14,Any%
280,theshoty,50:50,bad,,Any%
280,renegade113,50:50,it tolls for thee,2018-05-10,Any%
282,Laanyy,50:51,australianinternet%,2017-12-11,Any%
282,termigatorx,50:51,slow slow phantoon,2018-01-18,Any%
284,Aegyoforce,50:52,en route,2018-04-18,Any%
284,Solski,50:52,Draygon remains at large,2020-01-22,Any%
286,portgasdaxce,50:55,played just for fun and got a pb unfortunately not on twitch... sucks,2015-07-01,Any%
286,innorush,50:55,Second tourney race PB in a row. I should do more tourneys.,2018-08-10,Any%
288,luminairevista,50:59,late game fell apart,2018-03-26,Any%
289,tridentexe,51:01,,2018-05-27,Any%
290,Delsaber,51:07,,2018-07-11,Any%
291,Meddadog,51:11,,2018-10-16,Any%
292,bashbromayhem,51:13,Didn't see that coming,2014-05-27,Any%
293,Smace,51:15,Inching ever closer to sub-50,2020-06-07,Any%
294,daddypnot3d,51:16,First day back PB. Time to climb the leaderboard,2016-01-30,Any%
295,cellopassion17,51:20,muahaha,2018-05-15,Any%
296,Soppanaama,51:22,,2016-09-29,Any%
296,gyromedia,51:22,late game chokes,2018-03-20,Any%
298,Shenjoku,51:25,SNES Mini + elgato is my new favorite thing ever :),2019-03-09,Any%
299,Gnome,51:27,Getting closer to that sub 50!,2015-07-25,Any%
300,itzmeeix,51:28,getting there,2015-08-21,Any%
300,dstruthers,51:28,"0:36 game time, 21% item collection",2017-01-21,Any%
300,kunerfa,51:28,tourian chokes,2018-01-01,Any%
300,EXAKTScience_,51:28,"Kraid: yucky, LN: ripped, Ridley: sucky, Baby: skipped",2023-05-23,Any%
304,Dessyreqt,51:31,Too frustrating to get,,Any%
304,Ogreblast,51:31,time is on my side,2018-04-22,Any%
306,charles_black,51:34,f/f/f phantoon with a fast respawn,2016-07-26,Any%
307,MrLandmaster,51:35,Race PB,,Any%
307,FaeRhan,51:35,metroids didn't cooperate,2015-08-09,Any%
309,antimatterhorse,51:36,still 2 minutes,2016-02-13,Any%
309,VMan7,51:36,Massive mistakes from PB to Gravity,2016-06-04,Any%
311,Jollyek,51:38,51 not bad,2021-07-08,Any%
312,Mattoi,51:39,still bad but I'm too lazy to practice rn,2019-03-14,Any%
313,TriggerMichael,51:41,Shout outs to all the support I had on this run!,2017-08-23,Any%
314,alkalinetea,51:44,+20 at gravity -15 at end,2018-03-07,Any%
315,Sinnoh,51:51,Part 1: http://www.twitch.tv/sinnoh1/c/3020297,,Any%
315,knightartorias19,51:51,skipped the 52,2016-10-23,Any%
317,Danetch,51:52,The video will get available at 12:00 AM Feb 5th  JST,2021-02-03,Any%
318,marcoskwkm,51:53,swoop x7,2016-05-07,Any%
319,QuikEMart,51:56,Nearly full halfie and spike suit!,2020-01-28,Any%
320,iloveshred,51:57,Getting closer to sub 50!,2019-07-14,Any%
321,SnareRush,51:58,Cosmic Surfin',2019-04-06,Any%
321,MumuDidi,51:58,mhhkay,2019-08-13,Any%
321,mrBeachgrove,51:58,Grind over. Chase for sub 50 will take a while.,2020-04-18,Any%
321,PapaSchmo,51:58,The 52 skip! :),2021-10-24,Any%
325,Maisgueuh,52:02,,2019-05-04,Any%
326,Flop3434,52:03,Cut Leo Pnote and Wild,2014-07-29,Any%
326,redy9567,52:03,This run was made possible by the Ridley E-tank skip and the baby skip!,2018-03-15,Any%
328,ducktapes,52:04,,2016-01-31,Any%
329,JPOldGames,52:06,Not good enough.,2018-06-12,Any%
329,swap_space,52:06,Where the hell did that come from?,2018-12-16,Any%
329,romaizerli,52:06,"Bad Draygon, bad LN",2020-09-16,Any%
329,fenixdown23,52:06,Lots of gold here,2021-04-24,Any%
333,RussellTLM,52:10,Finally finished a run with a metroid skip Kreygasm,2017-12-19,Any%
334,gojeran,52:12,,,Any%
335,juliohfoliveira,52:13,,2021-03-14,Any%
336,oblivion294,52:16,,2014-07-31,Any%
337,wafflesawce,52:17,Too much sawce for your waffles,,Any%
337,valdeawinter92,52:17,Super Metroid,2018-03-22,Any%
339,ICheatAtGolf,52:18,Perfect Phantoon,,Any%
339,BlazingAL,52:18,Sheesh!,2022-03-18,Any%
339,Gumshoe,52:18,,2022-11-06,Any%
342,Meneldur,52:20,Farmer Samus,2020-02-27,Any%
343,Longneckturtle,52:23,Finally progress!,2017-11-18,Any%
344,denis1080,52:24,"""Joe, when you see Emily...tell her to wait for me...'cause I still have work to do."" (00:36 IGT)",2016-02-29,Any%
345,Verz,52:32,LN was poopy,2015-12-19,Any%
345,stefcad,52:32,Sub 50 income,2016-12-30,Any%
347,psilo81,52:33,,2018-01-14,Any%
348,aiuax,52:35,D e e R F o r C e,,Any%
348,iora,52:35,36 gt - call me glue CUZ I HELD IT TOGETHER,2014-12-05,Any%
348,redxparasite,52:35,Boss RNG. (╯°□°）╯︵ ┻━┻,2021-04-05,Any%
351,runnerwatcher,52:36,,2017-06-12,Any%
352,crossproduct,52:39,Birthday PB!! B-Day PB-Day!!,2017-08-10,Any%
353,fuerchter,52:40,"oh noes, i'm scurred of ben and mish D:",2015-05-24,Any%
354,w1steria,52:41,Late night PB,2018-03-27,Any%
355,vorpal,52:42,lmao a frog,2016-05-26,Any%
355,darksabre,52:42,race pb by over a minute,2016-07-16,Any%
357,gentilefreeze,52:44,4/9 gold splits,2018-01-31,Any%
358,klosty,52:45,Cut the Twig,,Any%
359,Tyderium,52:46,Still not there yet,2017-11-29,Any%
360,HyruleHero,52:47,when a run finally goes right,2019-05-11,Any%
361,Spike,52:48,PBs during races: yay,,Any%
362,Danbo,52:49,https://imgur.com/a/lTAbtaG,2018-04-18,Any%
363,leonidas9000,52:50,,2018-03-17,Any%
364,PCTrax,52:51,New PB after awhile.,2020-02-16,Any%
365,sonicattackk,52:53,"about time, and lots of time to save!!",2018-03-14,Any%
366,Golden,52:57,D e e R F o r C e,,Any%
366,MarioMayhem,52:57,late split and confirmed a 52:57. sub 53 feels good!,2019-03-15,Any%
368,enigmadon,52:58,strong start horrible end,2018-05-11,Any%
368,NobodyNada,52:58,First sub-5 bombs!,2023-03-06,Any%
370,Philament,52:59,Misplaced power bomb cost me almost 20 sec FailFish,2015-04-03,Any%
370,polarbearbunny,52:59,this run has Rocket Power vibes,2021-07-04,Any%
372,Syntic,53:01,Submitting my time for the Prodigy tourney... It's old.,2019-03-17,Any%
373,izerli,53:04,Awful LN,2019-02-13,Any%
374,Schmeman,53:08,vod not saved,2017-02-25,Any%
375,pdizzle,53:09,"Hey yo Trex, come help me swag this kid out",2016-10-08,Any%
375,HaclifAminara,53:09,First PB in a long time.,2021-07-31,Any%
377,xepherly,53:11,timmaw!,2018-01-16,Any%
378,Eriror,53:12,,2022-10-07,Any%
379,Sapphron,53:15,solid run,2019-03-03,Any%
380,BupBupper,53:16,All gold splits... until climb spark. Lost the 52:XX to THAT. Gonna be tough to beat.,2021-10-16,Any%
381,CrisBee,53:19,"The last jump is in captivity, the metroid is at peace",2017-08-31,Any%
381,ptoil,53:19,missed kqk but managed baby skip,2020-01-21,Any%
383,sinister1,53:21,Cut the Vorpal :D,,Any%
383,coufu,53:21,"Bad movement, but almost perfect boss fights.",2016-04-28,Any%
385,furiouSteve,53:23,PRKD new route,2018-03-14,Any%
386,slackwing,53:24,,2022-08-04,Any%
387,Albrecht,53:25,bad,2016-09-26,Any%
388,Peteza34,53:26,,2019-05-21,Any%
388,AnotherFastSamus,53:26,,2021-08-21,Any%
390,fslynx,53:28,ezpz,2014-10-15,Any%
391,skorph2014,53:30,"Twitch skipped first 10 minutes, but i only lost time in those",2015-03-26,Any%
392,Jockesomfan,53:31,bad second half!,2020-02-13,Any%
393,saberkok,53:35,bad dray bad LN bad tourian,2016-01-14,Any%
393,honeybun,53:35,choke%,2017-11-03,Any%
395,vanityangel,53:37,deerforce,2018-03-27,Any%
396,makobytes17,53:39,I didn't want halfie or reverse halfie anyway.,2019-05-04,Any%
397,powderedphenom,53:40,,2018-05-14,Any%
397,matrixugly,53:40,I had to pee so bad by the end of the run,2018-12-02,Any%
397,alexbascur1,53:40,53:39 but I don't care,2019-11-16,Any%
400,Hubert0987,53:44,3rd run back. i guess i still am ok at the game,2017-05-05,Any%
401,AngelisX,53:47,"Cut 55. More to do, as always.",2014-12-24,Any%
402,andy,53:48,See ya Twig,2014-12-08,Any%
403,Steeped21,53:49,D e e R F o r C e,,Any%
404,8BitisGr8,53:54,lost a minute on grav lol,2018-09-04,Any%
405,Andyrion,53:56,1 hp in Draygon and survived ketchup. Highlander Samus!,2018-09-26,Any%
406,Lambert77,53:58,http://i.imgur.com/OfkqNce.jpg,,Any%
407,Xterminator,54:00,Robbed of my 53 lol.......54:00.27 Prob the wackiest phantoon start I've ever had.,2021-06-26,Any%
